"Progcode","Progdesc","Predicted"
"BEED SCI MAT","BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND MATHEMATICS)","BEED Major in Science & Mathematics"
"BEED SCI MAT","BACHELOR OF ELEMENTARY EDUCATION (SCIENCE AND MATHEMATICS)","BEED Mathematics"
"BEED Lang Ed","BACHELOR OF ELEMENTARY EDUCATION (LANGUAGE EDUCATION)","BEED English"
"BA SOCIO","BACHELOR OF ARTS IN SOCIOLOGY","BA Sociology"
"BA PSYCH","BACHELOR OF ARTS IN PSYCHOLOGY","BA Psychology"
"BA POL SCI","BACHELOR OF ARTS IN POLITICAL SCIENCE","AB Political Science"
"BA POL SCI","BACHELOR OF ARTS IN POLITICAL SCIENCE","BA Political Science"
"BA HISTORY","BACHELOR OF ARTS IN HISTORY","BA History"
"BA FIL","BATSILYER NG SINING SA FILIPINO","BA Filipino"
"BA ELS","BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES","AB English - Literature"
"BA ELS","BACHELOR OF ARTS IN ENGLISH LANGUAGE STUDIES","BA English Language Studies"
NA,NA,"Agribusiness Mgt. Tech (Food Processing)"
NA,NA,"Bachelor of Engineering Technology (Environmental Engineering Technology)"
NA,NA,"Bachelor of Physical Education"
NA,NA,"Bachelor of Secondary Gen. Science Educ."
NA,NA,"BEED General Education"
NA,NA,"BS Biology (GeneralBiology)"
NA,NA,"BS Hotel & Restaurant"
NA,NA,"BS Social Work"
NA,NA,"BSE MAPEH"
NA,NA,"BSE Tech. & Livelihood Educ."
NA,NA,"BSED English"
