Program,BA ELS,BA FIL,BA HISTORY,BA POL SCI,BA PSYCH,BA SOCIO,BEED Lang Ed,BEED SCI MAT,BET-CET,BET-CHET,BET-ELET,BET-ESET,BET-MET,BET-MMT,BPED,BS ECON,BS ENTREP,BS HM,BS PHIL,BS PSYCH,BSA,BSBA-B.ECON,BSBA-MKT MGT,BSBIO(AnBio),BSBIO(Bdv),BSBIO(MCB),BSBIO(PlBio),BSCA,BSCE,BSCERE,BSCHE,BSCHEM,BSCPE,BSCS,BSED BIO,BSED CHEM,BSED FIL,BSED MATH,BSED PHYS,BSEE,BSEM,BSEnE,BSEsE,BSIAM,BSIS,BSIT,BSMARINE BIO,BSMATH,BSME,BSMETE,BSNURSING,BSPHYSICS,BSSTAT,BTLED-HE,BTLED-IA,BTVTED-DT
BET-ESET,195.9866047,152.3707248,153.0467792,187.4872722,184.7543858,152.6726668,168.2384289,187.9959235,113.5082775,147.1916847,136.7732057,0,113.7016631,144.1916488,164.7956336,142.0945665,145.2165318,185.6213794,141.0531501,179.5541451,171.9973149,144.3214787,146.464723,145.086017,139.6529804,142.0012973,144.6054952,135.5150429,135.1204019,154.2199109,216.212574,164.3292762,144.0266388,126.0467049,175.7231854,180.5523414,154.113026,157.2166797,169.4922265,196.1043229,142.0621179,278.8706237,195.2963676,117.9616372,144.0118638,138.4418454,158.4778931,141.749704,126.0374564,139.8867872,218.4054171,211.3452284,153.5407676,174.1066563,192.6180312,202.3216862
BET-MET,185.2140623,136.7964594,133.6395214,175.0466589,170.0318059,135.580971,149.5393378,170.6817454,77.63543777,127.31117,147.5042938,113.7016631,0,99.02402147,145.0776328,123.5355386,124.1836315,166.2206467,124.0801566,163.3439062,156.7048157,125.7374969,129.8135718,124.8347468,119.3329889,123.5859763,122.6619565,132.0769038,98.52899042,119.7686434,185.6340151,142.4240002,148.8996721,112.2944445,158.6850987,160.6821145,134.1204998,135.7942632,148.8345734,199.6218185,118.5476456,255.742921,199.9185516,115.360067,120.9283852,118.385344,141.1474767,121.1338803,88.72610592,107.6865765,206.8515205,196.7420262,139.7811352,154.2384808,166.0999627,185.7394593
BET-MMT,202.0201482,157.1649546,156.5145251,191.7643598,184.8116653,157.3432695,161.4670292,180.9649772,101.957335,127.1098426,165.7994776,144.1916488,99.02402147,0,158.8349542,148.1944591,150.8961406,185.0848872,146.0032195,177.5464625,178.5675861,149.8662891,152.660223,142.9099129,143.914067,146.9827676,143.091292,153.3004021,133.6522229,135.0325226,203.1486117,145.331207,172.4724842,137.5581707,170.191882,164.8831494,151.1221517,150.1341451,159.3929442,212.0930907,140.1992391,257.4009185,237.1806054,141.3825285,149.0368607,143.7029993,155.592742,140.7711121,127.5220551,126.1037552,222.6107128,205.882439,156.5395941,168.3761293,165.9774465,198.8746533
BPED,180.0397519,131.2957143,121.3454936,169.5503342,157.7728377,128.9116699,127.7422665,150.5313814,139.7155213,199.6642606,190.6856846,164.7956336,145.0776328,158.8349542,0,119.4197168,122.0410556,160.8083664,118.5533525,157.2065885,155.0553927,121.1369497,124.0097058,121.9417758,115.4219408,119.2882571,120.8843595,136.8725155,170.4399175,182.5620973,264.5161546,143.1386532,204.6184135,121.9068291,141.6836021,141.4475082,113.1874375,113.0372348,129.6727468,255.3098299,144.5991041,317.8784604,265.5610679,165.2922341,128.0566719,131.2369936,140.9514049,111.0923918,158.7422284,161.6169539,190.6190017,204.336123,147.3566162,132.1439037,158.7578011,176.2218125
BS ECON,159.8743258,96.63163119,92.99502835,146.6097259,143.2485022,98.77359034,122.2124186,147.4156565,118.2346939,184.350746,173.8206254,142.0945665,123.5355386,148.1944591,119.4197168,0,84.68963425,144.8065674,83.20048304,137.5047747,121.781796,44.40011467,86.9087637,85.82353865,76.25155651,81.37034919,83.79037373,107.1495322,148.0761953,161.773468,250.7094464,117.1213845,187.9281482,86.74277968,135.1023685,140.1020027,99.92192607,104.271695,126.01391,244.0419084,118.7691764,310.3505811,252.5671165,148.9798195,97.38817005,102.3831515,110.0829679,79.28434748,134.9084351,146.4355858,187.1631538,183.0773207,113.1483242,132.3235285,161.7358114,174.4674529
BS ENTREP,165.4770582,105.7928105,102.7550276,150.5641245,148.1195616,105.2847323,127.2802069,151.584443,117.4821417,185.2551116,175.347377,145.2165318,124.1836315,150.8961406,122.0410556,84.68963425,0,127.7578953,91.08518907,143.6968407,116.6211296,80.81261393,68.0730799,93.20115709,83.70068253,90.34497871,92.65557588,112.8906348,149.2388714,162.7442665,251.1091036,121.6826596,184.2653654,91.21160228,140.9994129,145.0185788,107.926821,111.0347074,132.254371,239.7274151,119.5216137,311.5106353,248.4100793,150.6099069,84.3483081,100.4263007,115.5070985,88.71797926,138.3041483,146.5874231,187.091663,188.1590209,120.4938619,131.3521446,160.1608096,169.1225935
BS HM,183.9507671,156.296403,148.40102,187.3716524,186.7825951,153.9562468,170.6350742,190.4414411,159.637758,210.8591078,207.3883428,185.6213794,166.2206467,185.0848872,160.8083664,144.8065674,127.7578953,0,140.8076911,182.8881671,159.3250742,136.4480001,128.3310504,146.3849449,140.6276263,144.8054306,145.6473951,157.225796,185.6927371,197.1608123,273.2546244,166.0506259,216.7621808,143.0880426,179.7807265,183.216309,156.2046459,158.6879638,173.143636,258.1582459,160.0455796,326.0972616,274.4340335,186.8591891,126.4582429,145.2590638,159.8430076,144.4042424,178.2946064,183.0006573,216.1335684,220.3533397,163.0738996,166.0650578,194.350894,208.5573575
BS PHIL,157.2648129,99.82371533,95.70260182,145.3101023,144.7227485,98.59289134,119.1729564,144.0682382,119.0919664,184.5759549,173.7010287,141.0531501,124.0801566,146.0032195,118.5533525,83.20048304,91.08518907,140.8076911,0,139.5570158,130.2245626,87.22269266,93.20129259,89.04484376,80.00665178,83.27876126,88.1079582,110.3596948,147.9993697,160.2646277,250.289977,119.0210879,185.466261,86.86180853,132.71124,138.8477575,100.4684313,107.1485613,125.4053146,241.0729068,119.284307,302.8889425,250.1242398,149.9247471,101.6194494,101.5031629,109.5777497,84.19993546,135.7122002,146.1742175,185.5844858,184.3365748,117.7584477,133.9263542,158.4285113,175.6846657
BS PSYCH,191.8513475,148.4069394,146.169005,185.7228035,40.61828007,145.7267691,164.2012817,184.0266952,160.311925,210.6497991,200.3931141,179.5541451,163.3439062,177.5464625,157.2065885,137.5047747,143.6968407,182.8881671,139.5570158,0,173.7182654,140.6168825,145.6295444,136.2866909,133.7605,136.0791373,135.353945,155.446308,182.1331502,194.2515343,272.2586947,151.8796291,214.5929133,140.7196221,172.5455495,173.3834444,148.7496608,150.1716262,164.8045525,259.6065584,160.6304737,324.6465088,274.589746,184.5290757,151.3927878,152.0837583,150.9313248,135.066421,172.2991929,181.4354531,215.1921061,201.9872743,158.2630969,171.8150248,195.4815018,207.6429233
BSA,189.4372809,145.507143,142.6313787,172.3559047,177.7660476,142.3936587,161.3904721,179.9433558,154.3599548,207.0322959,197.0367258,171.9973149,156.7048157,178.5675861,155.0553927,121.781796,116.6211296,159.3250742,130.2245626,173.7182654,0,119.3446185,118.8322262,134.3897774,128.8073922,132.04256,133.921976,145.5319718,178.6713565,189.7568236,269.0531833,156.9769817,206.0165503,127.1840429,168.9744235,173.3702217,145.2112659,148.8763849,163.4976066,254.6843245,154.5846926,325.4076009,264.2490798,174.7867334,121.1594953,135.088833,151.338201,128.4963191,163.8918005,176.0201741,212.0039258,210.7877295,145.9668783,166.4919609,191.180282,204.4324805
