,School,Type
169,Iligan Capitol College/HS Dept,Private
170,Iligan City Computer Insititute,Private
171,Iligan City East HS - Santiago,Public
172,Iligan City East High Sch-Hinaplanon,Public
173,Iligan City East High Sch-Santiago,Public
174,Iligan City East High School,Public
175,Iligan City East High School - Sta. Felomina,Public
176,Iligan City East National High School- Sta. Felomina,Public
177,Iligan City National High School,Public
178,Iligan City National High School - Tambacan Annex,Public
179,Iligan City National Sch of Fisheries,Public
180,Iligan Computer Institute,Private
181,Iligan Computer Institute - Kapatagan,Private
182,Iligan Computer Institute Diocesan ,Private
183,Iligan Fashion Institute and Trade Inc.,Private
184,Iligan Institute of Technology,Private
185,Iligan Medical Center Col/HS Dept,Private
186,Iligan Medical Center College - BED,Private
187,"Iligan Multi Skills Development Institute, Inc.",Private
188,Imelda National High School,Public
189,Immaculate Heart Academy,Private
190,Informatics Computer Institute,Private
191,Initao Nat'l Comp High Sch,Public
192,Initao Senior High School,Private
193,Int'l Phil Sch in Jedah,Private
194,International Academy of Marawi,Public
195,International Philippine School in Al-Khobar,Public
196,International Philippine School in Riyadh,Public
197,Isulan Nat'l High Sch - Capitol Site,Public
198,Isulan National High School - Kalawag II,Public
199,Jabonga National High School,Public
200,Jacinto D. Malimas Sr. National High School,Public
201,Jamiatul Philippines al-Islamie/HS Dept,Private
202,Jimenez Bethel Institute,Private
203,Jimenez National Comp High Sch,Public
204,Jose Rizal Mem'l State Col/HS Dept,Laboratory
205,Jose Rizal Mem'l State Col/HSD- Dipolog,Laboratory
206,Jose Rizal Meml State University-Katipunan,Laboratory
207,Jose Rizal Memorial State Univ. - Siocon,Laboratory
208,Jose Rizal Memorial State Univ.- Corporate HS,Laboratory
209,Jugan National High School,Public
210,Kabasalan Science & Tech. High Sch,Science
211,Kabatan National High School,Public
212,Kalian National High School,Public
213,Kalilangan National High School,Public
214,Kalubihon High School,Private
215,Kapalong National High School,Public
216,Kapatagan NHS - LdN,Public
217,Katipunan Nat'l High Sch - Sinacaban,Public
218,Kidapawan City National High School ,Public
219,"Kidapawan Doctors College, Inc. - Senior High School",Private
220,Kipit Agro-Fishery High School,Private
221,Kitcharao National High School,Public
222,Kiwalan National High School,Public
223,Koronadal Nat'l Comp High Sch,Public
224,Kumalarang National High Sch,Public
225,LSU Brother Martin Simpson Laboratory School,Private
226,La Salle Academy,Private
227,La Salle University,Private
228,La Salle University - Integrated School,Public
229,La Salle University - Lyceum St. Jean-Baptiste De La Salle,Private
230,Labo National High School,Public
231,Laguindingan National High School,Public
232,Lala National High School,Public
233,Lanao Chung Hua School,Private
234,Lanao Norte Nat'l Comp High Sch,Public
235,Lanao Norte National High Sch-Baroy Annex,Public
236,Lanao Norte Provincial Science and Technology High School,Science
237,"Lanao School of Science & Technology, Inc",Science
238,Lanao del Norte Comprehensive High School,Private
239,Lapuyan National High School,Public
240,Las Pi̱as National High School,Public
241,Laubach Institute,Private
242,Laureano Salusod Nat'l High Sch,Public
243,Lazi National Agricultural School,Public
244,Lebak Legislated National High School,Public
245,Leonardo Nat'l High Sch - Josefina,Public
246,Leonardo National High School,Public
247,Liangan National High School,Public
248,Libertad National High School - SC,Public
249,Libona National High School,Public
250,Liceo de Cagayan University,Private
251,Liceo de Cagayan University/HS Dept,Private
252,"Lide Learning Center, Inc.",Private
253,Linamon National High School,Public
254,Looc National High School,Public
255,Lorenzo Tan National High School,Public
256,Loreto National High School,Public
257,Lourdes College,Private
258,Lucan Central College/Senior High School,Private
259,Lugait Senior High School,Private
260,Lyceum of Iligan Foundation,Private
261,MSU Buug Senior High School,Private
262,MSU General Santos Senior High School,Private
263,MSU LNAC Senior High School,Private
264,MSU MSAT Senior High School,Private
265,MSU Marawi Senior High School,Private
266,MSU Naawan Senior High School,Private
267,MSU TCTO Senior High School,Private
268,MSU-Baloi Community College/High School Dept,Private
269,MSU-IIT Coop Academy,Private
270,MSU-IIT Integrated Developmental Sch,Public
271,MSU-Iligan Institute of Technology,Private
272,MSU-Lopez Jaena Comm Col/HSD,Private
273,MSU-Maigo Sch of Arts & Trade/HSD,Public
274,MSU-Naawan Integrated Developmental School,Public
275,Madrid National High School,Public
276,Magallanes National High School,Public
277,Magsaysay National High School,Public
278,Mahayag School of Atrs and Trade,Public
279,Mahinog National High School,Public
280,Maigo National High School,Public
281,Malabang National High School,Public
282,Malayan Colleges Mindanao,Private
283,Malungon National High School,Public
284,Mambuaya National High School,Public
