CITY_HOME,proportion
Iligan City,0.48098530682800344
Lala,0.02592912705272256
Butuan City,0.024200518582541054
Pagadian City,0.022904062229904928
Cagayan de Oro City,0.02031114952463267
Oroquieta City,0.018582541054451167
Tubod,0.017718236819360415
Kapatagan,0.01728608470181504
Linamon,0.01296456352636128
Ozamis City,0.01296456352636128
Balo-i,0.01296456352636128
Molave,0.011668107173725151
Baroy,0.011235955056179775
Kauswagan,0.011235955056179775
Bacolod,0.010371650821089023
San Francisco,0.00950734658599827
Surigao City,0.009075194468452896
Aurora,0.009075194468452896
Bayugan City,0.00864304235090752
Marawi City,0.008210890233362144
Lugait,0.008210890233362144
Maigo,0.006914433880726016
Naawan,0.00648228176318064
Aloran,0.006050129645635264
Clarin,0.005185825410544511
Kolambugan,0.005185825410544511
Calamba,0.004753673292999135
Tangub City,0.004753673292999135
Dipolog City,0.00432152117545376
Tukuran,0.0038893690579083835
Davao City,0.0038893690579083835
General Santos City,0.0038893690579083835
Tambulig,0.0038893690579083835
Bislig City,0.0038893690579083835
Manticao,0.0038893690579083835
Mahayag,0.0038893690579083835
Polanco,0.003457216940363008
Lopez Jaena,0.003457216940363008
Claver,0.003457216940363008
Dumalinao,0.003025064822817632
Barobo,0.003025064822817632
Cabadbaran City,0.003025064822817632
Bonifacio,0.003025064822817632
Buug,0.003025064822817632
Salvador,0.003025064822817632
Ramon Magsaysay,0.003025064822817632
Sinacaban,0.003025064822817632
Sapad,0.0025929127052722557
Plaridel,0.0025929127052722557
Laguindingan,0.0025929127052722557
Jimenez,0.0025929127052722557
Malabang,0.0025929127052722557
Cantilan,0.00216076058772688
Dumingag,0.00216076058772688
Tudela,0.00216076058772688
Bongao,0.00216076058772688
Medina,0.00216076058772688
Pantar,0.00216076058772688
Gingoog City,0.00216076058772688
Saguiaran,0.00216076058772688
Baliangao,0.00216076058772688
Cagwait,0.001728608470181504
Diplahan,0.001728608470181504
Siay,0.001728608470181504
Prosperidad,0.001728608470181504
Gitagum,0.001728608470181504
Buenavista,0.001728608470181504
Gigaquit,0.001728608470181504
Zamboanga City,0.001728608470181504
Tandag City,0.001728608470181504
Carmen,0.001728608470181504
Bunawan,0.001728608470181504
Sultan Naga Dimaporo,0.001728608470181504
Lakewood,0.001728608470181504
Malangas,0.001728608470181504
Esperanza,0.001728608470181504
Magallanes,0.0012964563526361278
Midsayap,0.0012964563526361278
Nasipit,0.0012964563526361278
Carrascal,0.0012964563526361278
